,5_11_1_.6,5_11_1_.3,5_11_1_.2,5_11_1_.1,5_11_1_1,5_11_1_2,5_11_1_3,5_11_1_4,5_11_1_5,5_11_1_6,5_11_1_7,5_11_1_8,5_12_2_.6,5_12_2_.3,5_12_2_.2,5_12_2_.1,5_12_2_1,5_12_2_2,5_12_2_3,5_12_2_4,5_12_2_5,5_12_2_6,5_12_2_7,5_12_2_8,5_13_5_.6,5_13_5_.3,5_13_5_.2,5_13_5_.1,5_13_5_1,5_13_5_2,5_13_5_3,5_13_5_4,5_13_5_5,5_13_5_6,5_13_5_7,5_13_5_8,5_14_1_.6,5_14_1_.3,5_14_1_.2,5_14_1_.1,5_14_1_1,5_14_1_2,5_14_1_3,5_14_1_4,5_14_1_5,5_14_1_6,5_14_1_7,5_14_1_8,5_14_5_.6,5_14_5_.3,5_14_5_.2,5_14_5_.1,5_14_5_1,5_14_5_2,5_14_5_3,5_14_5_4,5_14_5_5,5_14_5_6,5_14_5_7,5_14_5_8,3__13_.1,3__13_.2,3__13_0,3__13_10,3__13_11,3__13_12,3__15_.1,3__15_.2,3__15_0,3__15_10,3__15_11,3__15_12,3__16_.1,3__16_.2,3__16_0,3__16_10,3__16_11,3__16_12,3__28_.1,3__28_.2,3__28_0,3__28_10,3__28_11,3__28_12
00cd2f68603124759047487807589f27,10,0,0,0,0,0,0,0,0,0,0,0,22,107,57,101,3,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,72,296,0,0,0,48,95,7,0,0,0,21,153,94,0,0,0,162,189,240,0,0,0
020f48a69f9bf40e54fbac885f94695a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,626,4978,48,12,0,6306,4298,14673,0,25,0,4191,4145,4152,0,0,34,0,16,44,0,0,0
03a1f9f63e2fa6c7bdf27d33eba2b09d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,69,0,0,0,0,105,469,0,0,0,0,188,1086,161,0,0,0,188,304,134,0,0,0
03d1db1ccc574034f8242e94d57eca3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,58,0,5,50,0,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,131,0,0,0,19,0,12,9,24,0,0,0,217,26,42,23,49,18,0,0,0,0,0,0,100,24,46,0,0,0,263,697,0,0,0,0,171,69,210,0,0,0,280,187,231,0,0,0
04551d3323a786ff624839f426ede82d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,56,126,0,0,0,88,80,49,0,0,0,24,93,30,0,0,0,288,20,262,0,0,0
0570b4a067b34904d37cb5ddc848b221,0,6,0,0,0,6,34,0,0,0,0,0,0,0,8,9,10,0,17,76,0,0,0,0,0,0,11,0,6,13,0,0,0,0,0,0,0,12,0,0,0,12,0,0,38,0,0,0,0,7,18,0,95,21,0,0,0,0,0,0,0,16,8,0,0,0,30,90,17,0,0,0,28,33,14,0,0,0,0,0,0,0,0,0
06538b77450f85903962437f449fa60a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,5,18,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,11,0,0,0,12,30,4,9,14,8,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08ce27cee52afc14d82faaae7852a600,30,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,63,49,38,0,0,0,127,111,36,0,0,0,213,252,82,0,0,0,49,0,27,0,0,0
08eba18fc9aa967e5e29f20ee5041a60,0,0,0,0,0,0,60,43,81,92,13,36,0,0,0,0,0,0,0,146,0,46,0,0,0,0,0,0,10,0,170,188,0,0,90,0,0,0,0,0,0,0,16,0,63,0,0,0,0,0,12,7,0,0,45,59,0,19,146,0,0,0,0,74,331,340,0,0,0,267,34,41,0,0,0,5893,209,588,0,0,0,749,970,3872
08eedcaf8f982611c4982038139f6271,31,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,131,33,0,0,0,128,111,145,0,0,0,61,48,404,0,0,0
