,5_11_1_.6,5_11_1_.3,5_11_1_.2,5_11_1_.1,5_11_1_1,5_11_1_2,5_11_1_3,5_11_1_4,5_11_1_5,5_11_1_6,5_11_1_7,5_11_1_8,5_12_2_.6,5_12_2_.3,5_12_2_.2,5_12_2_.1,5_12_2_1,5_12_2_2,5_12_2_3,5_12_2_4,5_12_2_5,5_12_2_6,5_12_2_7,5_12_2_8,5_13_5_.6,5_13_5_.3,5_13_5_.2,5_13_5_.1,5_13_5_1,5_13_5_2,5_13_5_3,5_13_5_4,5_13_5_5,5_13_5_6,5_13_5_7,5_13_5_8,5_14_1_.6,5_14_1_.3,5_14_1_.2,5_14_1_.1,5_14_1_1,5_14_1_2,5_14_1_3,5_14_1_4,5_14_1_5,5_14_1_6,5_14_1_7,5_14_1_8,5_14_5_.6,5_14_5_.3,5_14_5_.2,5_14_5_.1,5_14_5_1,5_14_5_2,5_14_5_3,5_14_5_4,5_14_5_5,5_14_5_6,5_14_5_7,5_14_5_8,3__13_.1,3__13_.2,3__13_0,3__13_10,3__13_11,3__13_12,3__15_.1,3__15_.2,3__15_0,3__15_10,3__15_11,3__15_12,3__16_.1,3__16_.2,3__16_0,3__16_10,3__16_11,3__16_12,3__28_.1,3__28_.2,3__28_0,3__28_10,3__28_11,3__28_12
00cd2f68603124759047487807589f27,0.000624844,0,0,0,0,0,0,0,0,0,0,0,0.001918716,0.01042174,0.006789756,0.007864819,0.000186625,0,0,0,0,0,0,0,0.001173217,0,0.00036972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008171805,0.001751484,0.010105493,0,0,0,0.001550989,0.001618702,0.00029123,0,0,0,0.000692612,0.002758397,0.002675776,0,0,0,0.003932898,0.007525683,0.005432076,0,0,0
020f48a69f9bf40e54fbac885f94695a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049544037,0.015228179,0.169949814,0.001535018,0.000508798,0,0.203761148,0.073233485,0.610459311,0,0.000414559,0,0.138225594,0.074729118,0.118189582,0,0,0.000901618,0,0.000637095,0.000995881,0,0,0
03a1f9f63e2fa6c7bdf27d33eba2b09d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002605503,0.001678505,0,0,0,0,0.003392788,0.007991276,0,0,0,0,0.006200528,0.019579209,0.004582978,0,0,0,0.004564104,0.012104802,0.003032909,0,0,0
03d1db1ccc574034f8242e94d57eca3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001245912,0.003608087,0,0.000266283,0.004051864,0,0,0,0,0.002011229,0,0,0,0,0.0003861,0,0,0,0,0,0,0.010399301,0,0,0,0.000938086,0,0.000670316,0.000827815,0.001184308,0,0,0,0.016066933,0.001646195,0.004305926,0.002564388,0.002506907,0.001491672,0,0,0,0,0,0,0.003947732,0.000583828,0.001570448,0,0,0,0.008498126,0.011876161,0,0,0,0,0.005639842,0.001243983,0.005977797,0,0,0,0.006797601,0.007446046,0.005228374,0,0,0
04551d3323a786ff624839f426ede82d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001302752,0.001362265,0.004301663,0,0,0,0.002843479,0.001363117,0.002038609,0,0,0,0.000791557,0.001676673,0.000853971,0,0,0,0.006991819,0.000796369,0.005930017,0,0,0
0570b4a067b34904d37cb5ddc848b221,0,0.000312728,0,0,0,0.000481734,0.002009456,0,0,0,0,0,0,0,0.000952948,0.000700825,0.000622084,0,0.000905363,0.006158833,0,0,0,0,0,0,0.00101673,0,0.000341822,0.001254826,0,0,0,0,0,0,0,0.000806994,0,0,0,0.000988549,0,0,0.001875154,0,0,0,0,0.000443206,0.001845397,0,0.004860329,0.001740283,0,0,0,0,0,0,0,0.000389219,0.000273121,0,0,0,0.000969368,0.001533507,0.000707272,0,0,0,0.000923483,0.000594948,0.00039852,0,0,0,0,0,0,0,0,0
06538b77450f85903962437f449fa60a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357356,0,0.000622084,0.000637674,0.00095862,0,0,0,0,0,0,0,0,0,0.000227881,0,0.000789362,0,0,0,0.000497602,0,0,0,0.001364877,0.00227445,0.000197492,0.000741412,0.000782036,0.000735835,0,0,0,0,0,0,0,0.000891961,0,0,0.000854774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08ce27cee52afc14d82faaae7852a600,0.001874531,0,0,0,0,0,0,0,0,0,0,0,0.002703646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002778439,0,0,0,0,0,0,0,0,0,0,0,0.002961647,0,0,0,0,0,0,0,0,0,0,0,0.002487071,0.001191982,0.001297327,0,0,0,0.004103658,0.001891325,0.001497753,0,0,0,0.007025066,0.004543242,0.002334187,0,0,0,0.00118958,0,0.000611109,0,0,0
08eba18fc9aa967e5e29f20ee5041a60,0,0,0,0,0,0,0.003546099,0.002395009,0.004803986,0.009574357,0.00096475,0.001950585,0,0,0,0,0,0,0,0.011831442,0,0.004901961,0,0,0,0,0,0,0.000569703,0,0.010322424,0.00941365,0,0,0.004071293,0,0,0,0,0,0,0,0.000893755,0,0.003108808,0,0,0,0,0,0.001230265,0.000780466,0,0,0.003846483,0.003015743,0,0.001799754,0.00817515,0,0,0,0,0.002366485,0.014034344,0.017858081,0,0,0,0.007599693,0.000563801,0.002928362,0,0,0,0.223864154,0.004571904,0.015592681,0,0,0,0.0313691,0.034327777,0.073318059
08eedcaf8f982611c4982038139f6271,0.001937016,0,0,0,0,0,0,0,0,0,0,0,0.001744287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013495277,0,0,0,0,0,0,0,0,0,0,0,0.00318377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002520357,0.002232105,0.001372941,0,0,0,0.004221636,0.00200119,0.004127526,0,0,0,0.001480906,0.001911285,0.009143995,0,0,0
08faf2041b38f0c8f2faa68e7d5edd31,0.00499875,0,0,0,0,0,0,0,0,0,0,0,0.007151579,0.001168793,0,0,0.001057543,0,0,0,0,0,0,0,0.003016844,0.002875767,0.00101673,0,0,0,0,0,0,0,0,0,0.008811622,0.003227976,0.001478617,0.000985595,0,0,0,0,0,0,0,0,0.004664594,0,0,0,0,0,0,0,0,0,0,0,0.004460937,0.001727158,0.00194599,0,0,0,0.007076386,0.003867846,0.000998502,0,0,0,0.002440633,0.002415851,0.007031028,0.001975384,0,0,0.000606929,0.001632556,0.001901227,0,0.001061684,0.002669898
09fe878f37fdb48cdc41797c656c05b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000631637,0.000924394,0,0,0,0,0.00100168,0.00081787,0.000998502,0,0,0,0.000560686,0.000558891,0.000540848,0,0,0,0.000704037,0.000557458,0.000430039,0,0,0
0ad13b6d1cd98ad7e8f6ee9909d33114,0.030054986,0.017721255,0.034787997,0.045789707,0.012738278,0.015335207,0.001536643,0.005235602,0.002253722,0,0,0,0.075091575,0.037206584,0.068016677,0.058324249,0.019533437,0.019385282,0.022101507,0.000648298,0,0,0,0,0.039470376,0.025690184,0.034938534,0.055588763,0.004443685,0.003474903,0.010626025,0.010264884,0,0,0.003166561,0.000330251,0.139636421,0.021116342,0.022634213,0.024639879,0.006220993,0.015981547,0.010334041,0,0,0,0,0,0.122241967,0.111118146,0.045314743,0.031887613,0.030747979,0.010607442,0.001282161,0,0,0,0.000895907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0df6c802966e8670279671824da4f10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389347,0,0,0,0,0,0.003196931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401630956,0.111893152,0.270129734,0,0,0,0.129166311,0.160533952,0.58788658,0,0,0,0,0.01763136,0.004163352,0.00016994,0,0.001516455,0.090212338,0.047174152,0.000492322
0f276b28ea3ba352f6fd667c1e298c38,0.004623844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000473728,0.001483896,0,0,0,0,0,0.000971221,0,0,0,0,0,0.001586529,0.001024765,0,0,0,0.00033988,0,0.001222217,0,0,0
