ID	5_11_1_1	5_12_2_1	5_13_5_1	5_14_1_1	5_14_5_1	5_12_2_3	5_13_5_3	5_14_1_3	5_14_5_3	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5
999_1	28	3	10	0	2	10	146	1	255	52	332	278	29	410
998_1	6	0	2	0	0	1	9	1	33	3	19	35	1	51
997_1	29	0	7	0	1	4	5	0	40	1	4	11	2	294
996_1	0	1	1	1	0	0	0	0	4	0	0	1	0	0
995_1	15	1	1	1	4	5	64	6	164	34	257	83	9	99
994_1	4	0	0	0	0	0	3	0	21	1	17	19	3	11
993_1	24	1	6	3	2	19	91	6	288	96	549	394	50	797
992_1	1	1	1	0	0	2	0	2	3	1	2	0	0	3
991_1	2	0	0	0	0	0	0	0	1	0	2	3	0	0
990_1	2	0	1	0	1	2	9	0	13	10	15	22	5	13
99_1	4	0	0	0	0	0	0	0	1	0	2	0	0	0
989_1	11	0	0	1	0	3	14	2	44	7	6	34	4	49
988_1	8	2	0	0	0	1	7	0	19	5	3	1	0	3
987_1	29	1	9	5	0	12	32	15	76	9	48	61	3	92
986_1	0	0	0	0	0	0	0	1	2	0	0	3	0	1
985_1	0	0	0	0	0	0	0	0	4	0	0	1	0	2
984_1	0	0	1	0	0	0	2	1	12	1	0	11	1	18
983_1	6	0	1	2	0	0	6	2	22	0	17	44	0	15
982_1	8	1	0	0	3	15	12	2	52	2	11	21	3	65
981_1	2	1	2	0	0	1	8	0	13	8	13	10	4	22
980_1	4	0	0	0	0	3	68	1	65	28	69	33	19	104
98_1	7	0	12	1	2	28	436	1	618	260	1082	310	107	1627
979_1	5	0	2	0	1	6	12	8	50	6	13	16	2	44
978_1	4	0	1	0	0	1	20	0	22	6	36	36	9	50
977_1	6	0	2	0	0	6	14	2	16	2	0	2	0	69
976_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
975_1	1	0	1	1	0	0	0	1	8	1	1	1	0	11
974_1	9	1	1	1	0	5	51	5	190	18	66	197	9	320
973_1	6	0	2	0	0	5	16	2	4	10	27	35	13	49
972_1	2	1	1	0	1	2	13	0	42	3	4	16	1	59
971_1	9	2	2	1	0	18	82	7	106	20	61	129	7	148
970_1	9	1	4	1	2	6	76	1	70	37	170	94	25	220
97_1	14	5	1	1	2	5	31	4	38	12	86	51	10	61
969_1	0	2	0	0	0	0	2	0	2	0	0	3	1	3
