"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6121_1",65.9630030021024,-2.72505572386237,0.393545363246362,-6.92437512510207,4.37904118251334e-12,2.74434510908111e-08
"6583_1",29.3210556991527,5.79588940917522,0.942501011098597,6.14947818721109,7.77382760155479e-10,1.88096885244264e-06
"5885_1",37.5550966894122,-2.69789355025337,0.443720110721146,-6.08016964989187,1.20055455716779e-09,1.88096885244264e-06
"2325_1",23.0565987206493,5.52461392077262,0.903580010751655,6.11413915207896,9.70795695921632e-10,1.88096885244264e-06
"3310_1",188.879875741536,-2.59547216082877,0.434112440273694,-5.97880161921278,2.24785098477518e-09,2.81745642431721e-06
"4805_1",25.0818995271529,-3.4347890106843,0.584799264136518,-5.87344961139087,4.26818805958176e-09,3.93068920534436e-06
"136_1",59.6835781436779,4.60007504341961,0.783822834502496,5.86876886068182,4.3904299405474e-09,3.93068920534436e-06
"937_1",64.1637747420169,-2.54991669461768,0.438317517471706,-5.81751035031876,5.97305647114008e-09,4.67914311307936e-06
"154_1",32.4028328184171,4.4837578821687,0.780402526221128,5.74544255242227,9.16808805608916e-09,6.38404531639009e-06
"368_1",66.3304249442828,-3.54623050991486,0.62355549956849,-5.6871128750671,1.29205062244531e-08,8.09728125086475e-06
"2599_1",15.1480886152394,5.2421386202919,0.924936258084653,5.66756743988743,1.44839054205148e-08,8.25187593366966e-06
"530_1",58.981624976983,4.91714256104243,0.875145053666509,5.61866006148531,1.92444064430136e-08,1.00503912648639e-05
"6474_1",64.3069387139524,-2.61713666166024,0.472080097132095,-5.5438402880347,2.95908760434198e-08,1.42650784741625e-05
"895_1",38.6139402933385,-2.47218889223376,0.448300264521695,-5.5145827202922,3.49608444338345e-08,1.56499722904886e-05
"6745_1",10.939791332929,6.83900185149858,1.24915696917177,5.47489388465971,4.37773863869507e-08,1.71470550304387e-05
"2294_1",43.5873254699171,-3.41430482145604,0.62299652209098,-5.4804556693134,4.24231806023474e-08,1.71470550304387e-05
"212_1",9.71140366403051,4.07017932903399,0.746247307788973,5.45419633216952,4.91948250693282e-08,1.81355275711459e-05
