,3_X_13_11,3_X_15_11,3_X_16_11,3_X_28_11,3_X_45_11,3_X_46_11,3_X_47_11,3_X_49_11,3_X_50_11,5_11_1_-1,5_11_1_1,5_11_1_3,5_11_1_5,5_11_1_8,5_12_2_-1,5_12_2_1,5_12_2_3,5_12_2_5,5_12_2_8,5_13_5_-1,5_13_5_1,5_13_5_3,5_13_5_5,5_13_5_8,5_14_1_-1,5_14_1_1,5_14_1_3,5_14_1_5,5_14_1_8,5_14_5_-1,5_14_5_1,5_14_5_3,5_14_5_5,5_14_5_8,ID
999_1,741594.9506,364524.1016,410148.0718,443934.5634,0,0,0,0,0,78240.9056,432333.4431,887932.5669,1189225.791,533441.9183,393924.238,298475.3703,251095.968,644308.9432,275035.9728,87406.60415,180926.9897,661365.373,2732260.909,1746195.979,82024.97208,0,63245.80468,415754.1581,506537.6854,97995.30789,199626.288,675526.7353,1453030.344,1119969.929,999_1
998_1,36100.72289,12127.86035,109639.5668,84486.13158,0,0,0,0,0,0,285623.2334,157935.3607,18150.74396,57370.86844,0,0,77414.3051,113681.8565,287209.3579,0,111561.6255,125693.4327,1060539.62,122768.3803,252887.6216,0,194990.3879,44199.77761,119111.5138,0,0,269524.21,557240.2571,246637.896,998_1
997_1,1730773.35,1095237.212,2119105.199,565542.9285,0,0,0,0,0,0,624393.9907,23810.94094,123141.411,3459780.897,0,0,140055.3318,10824.70285,49486.61113,0,176604.3163,31583.37361,150754.3922,329049.4585,0,0,0,39982.36832,191548.8941,0,139183.4675,147761.8327,1452907.863,27888.05661,997_1
996_1,39370.71591,23146.19725,17935.60304,96745.80393,0,0,0,0,0,0,0,0,0,0,397349.6661,501784.6806,0,0,0,0,91250.13394,0,49568.69963,14876.52273,413691.1636,430332.4768,0,0,32475.15006,0,0,53443.20634,0,0,996_1
995_1,1657903.489,507964.7139,891852.8767,1017213.024,0,0,0,682845.5794,0,97459.81262,288498.6351,723181.4236,1078008.011,1614829.514,0,123930.7131,156387.2875,621270.7435,149194.6597,108876.9512,22536.94583,361127.2615,1016125.075,4831575.088,204346.7761,106283.4573,472688.108,160721.0705,553428.8659,122066.6386,497324.014,541175.233,437036.5159,1220692.056,995_1
994_1,430234.0833,105471.5047,303705.7063,310225.4809,0,0,0,0,0,0,183996.9893,50870.56563,140311.3691,92395.03158,0,0,0,98286.73816,13215.62588,0,0,40485.52515,556315.165,755717.8033,0,0,0,128129.6924,198221.7827,0,0,165733.9882,116137.7579,297905.3238,994_1
993_1,554319.536,193447.4062,193978.7224,118496.7205,0,0,0,464796.6712,0,66338.56592,314198.6049,1389888.894,369382.9795,736290.0552,0,84356.6754,404506.5426,903359.5301,534094.8193,148219.8788,92042.16342,349512.0873,3283264,745280.4884,139093.9682,217033.8302,321747.5016,607772.1818,862601.7016,0,169258.2871,646884.9681,2394866.775,2543558.932,993_1
992_1,37122.60768,8907.96966,74088.30851,59573.23714,0,0,0,0,0,0,41958.31785,46401.70188,0,16855.66755,0,270361.292,136466.7984,10547.34956,24109.32628,0,49165.51872,0,0,20038.65434,0,0,343731.2254,0,0,0,0,21596.37621,28891.45076,0,992_1
991_1,0,0,19341.54408,0,0,0,0,0,0,0,125967.1696,0,0,0,0,0,0,15832.61484,0,0,0,0,120272.1855,0,0,0,0,0,0,0,0,10806.09886,0,0,991_1
990_1,49960.08088,33567.68705,78900.16087,98213.6713,0,0,0,0,0,200296.7183,79055.25817,437136.0329,376784.4092,79396.00645,201689.2098,0,128561.1356,74522.48017,34068.97211,0,46317.30936,104368.8917,553528.5409,86837.85408,0,0,0,183505.2836,98903.62941,0,255521.6486,88162.86176,117943.5362,51198.6253,990_1
99_1,0,0,49776.03257,0,0,0,0,0,0,0,518688.3455,0,0,104184.8048,0,0,0,32596.55995,0,0,0,0,0,37157.64954,0,0,0,0,0,0,0,22247.8506,0,0,99_1
989_1,591083.6893,87740.96567,1089613.41,965097.7459,0,0,0,0,0,0,598164.7855,420961.1702,0,174761.6081,277466.1805,0,265294.5636,41008.57543,265591.4492,0,0,223348.9882,1176856.869,207763.2017,0,300497.8206,445480.8861,201960.2742,68031.43389,0,0,410508.7272,611581.3931,352172.7073,989_1
