sample	bbduk
5_11_1_-1	44.64039697
5_12_2_-1	29.89805013
5_13_5_-1	36.64249986
5_14_1_-1	31.83713022
5_14_5_-1	23.34647995
5_11_1_1	36.92496529
5_12_2_1	26.48482771
5_13_5_1	85.48931923
5_14_1_1	32.39748458
5_14_5_1	29.19828744
5_11_1_3	24.74684006
5_12_2_3	23.65350221
5_13_5_3	19.57063737
5_14_1_3	28.36427699
5_14_5_3	47.84628854
5_11_1_5	17.14148587
5_12_2_5	22.85604312
5_13_5_5	29.27528868
5_14_1_5	16.8167498
5_14_5_5	51.58746635
5_11_1_8	19.00796758
5_12_2_8	19.30478979
5_14_1_8	27.09130804
5_14_5_8	10.24013567
5_13_5_8	67.12407017
3_X_32_11	24.75128701
3_X_15_11	18.23592814
3_X_46_11	21.68077147
3_X_45_11	20.07603769
3_X_16_11	15.31020015
3_X_28_11	14.13608244
3_X_13_11	12.23733838
3_X_49_11	11.18860291
3_X_47_11	15.4568879
3_X_50_11	6.54245401
