ID	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5	5_11_1_5	5_11_1_8	5_12_2_8	5_13_5_8	5_14_1_8	5_14_5_8
999_1	52	332	278	29	410	202	86	62	1184	236	56
998_1	3	19	35	1	51	1	3	21	27	18	4
997_1	1	4	11	2	294	15	400	8	160	64	1
996_1	0	0	1	0	0	0	0	0	2	3	0
995_1	34	257	83	9	99	147	209	27	2630	207	49
994_1	1	17	19	3	11	8	5	1	172	31	5
993_1	96	549	394	50	797	74	140	142	596	474	150
992_1	1	2	0	0	3	0	1	2	5	0	0
991_1	0	2	3	0	0	0	0	0	0	0	0
990_1	10	15	22	5	13	25	5	3	23	18	1
99_1	0	2	0	0	0	0	2	0	3	0	0
989_1	7	6	34	4	49	0	8	17	40	9	5
988_1	5	3	1	0	3	0	3	4	14	1	0
987_1	9	48	61	3	92	19	29	19	314	89	11
986_1	0	0	3	0	1	0	0	0	0	0	0
985_1	0	0	1	0	2	0	1	0	0	0	0
984_1	1	0	11	1	18	0	8	15	5	4	3
983_1	0	17	44	0	15	0	1	3	35	17	2
982_1	2	11	21	3	65	7	25	43	38	55	16
981_1	8	13	10	4	22	3	3	14	20	14	4
980_1	28	69	33	19	104	11	21	14	230	58	16
98_1	260	1082	310	107	1627	299	332	158	5845	536	140
979_1	6	13	16	2	44	14	12	7	89	12	2
978_1	6	36	36	9	50	23	14	10	116	75	6
977_1	2	0	2	0	69	4	30	3	16	351	0
976_1	0	0	0	0	0	0	0	0	0	0	0
975_1	1	1	1	0	11	0	1	6	4	4	1
974_1	18	66	197	9	320	6	59	136	412	54	40
973_1	10	27	35	13	49	4	10	7	19	25	3
972_1	3	4	16	1	59	0	9	18	5	47	0
971_1	20	61	129	7	148	14	79	77	92	57	20
970_1	37	170	94	25	220	29	79	22	264	149	22
97_1	12	86	51	10	61	14	48	23	108	84	7
969_1	0	0	3	1	3	0	0	1	0	0	2
968_1	41	232	276	35	302	105	103	41	320	297	43
967_1	2	33	30	8	54	9	18	26	28	44	6
966_1	0	4	8	1	12	0	4	7	15	38	1
965_1	25	29	56	28	70	12	6	6	62	34	8
964_1	0	0	0	0	0	0	0	0	0	0	0
963_1	0	4	8	0	6	2	1	5	9	9	4
962_1	10	40	33	10	44	3	20	11	103	63	6
961_1	2	10	12	0	42	2	5	16	3	11	6
960_1	6	9	29	2	39	11	9	24	64	21	6
96_1	160	874	388	110	1103	169	174	127	2962	627	87
959_1	0	0	2	0	0	0	0	0	0	0	0
958_1	5	28	14	0	23	5	1	2	67	19	2
