"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6316_1",206.385558612507,-6.28937830561608,0.913989414470297,-6.88123757895062,5.93347977800736e-12,3.01064763936093e-08
"187_1",120.863988605635,-5.66842178815387,0.856759100388511,-6.6161208974418,3.68746835329627e-11,9.35510721231263e-08
"1855_1",27.4723944981229,3.92503217630369,0.709771303406745,5.52999558796532,3.20238842032412e-08,5.41630628157486e-05
"305_1",41.824408148529,-4.15595710867247,0.778330675255177,-5.33957768953399,9.31633408459185e-08,0.000118177697863048
"2254_1",102.541225256875,4.13981841526058,0.806880940448841,5.13064345398683,2.88753400789355e-07,0.000280671844027449
"2219_1",26.3537041640226,3.09556679008959,0.606453950773677,5.104372370137,3.31894178983976e-07,0.000280671844027449
"665_1",28.9741061536068,-4.72993160236485,0.955042867482452,-4.95258565181815,7.32338042766056e-07,0.000412875914332774
"6331_1",23.2605376053483,2.36109914201436,0.474477469196738,4.97620918862926,6.48415722177591e-07,0.000412875914332774
"4981_1",31.3648719651408,-3.93986089122054,0.79433944163938,-4.95992101700167,7.05218470933399e-07,0.000412875914332774
"6042_1",53.3522705872492,3.36395817640575,0.699687424238356,4.80780139798509,1.52599250213092e-06,0.00077428859558123
"1479_1",84.1271018782846,3.40921037534426,0.715462603592801,4.7650434253648,1.88812980716821e-06,0.000870942785597409
"5090_1",193.475089028621,-2.61248051311156,0.561314791892492,-4.65421640556362,3.25215103558885e-06,0.00121037489805105
"4455_1",19.1379705721715,3.41395191284872,0.73438156259929,4.64874404085702,3.33962328985311e-06,0.00121037489805105
"1549_1",28.6064073630739,1.96162477012598,0.42086695378397,4.66091422120273,3.14807913531238e-06,0.00121037489805105
"1572_1",27.8213143548431,3.26998027291383,0.706484533940402,4.62852350733792,3.68282064421257e-06,0.00124577546324897
"3327_1",227.167293071934,-2.40026163556401,0.522052796538811,-4.5977373389773,4.27103963799636e-06,0.0013544534451996
"4944_1",151.079553229008,-3.5269088753808,0.798975958627341,-4.41428660937446,1.01343623026347e-05,0.00180140185889663
"4805_1",146.650040129807,-1.96488174599051,0.444774215000482,-4.41770606236331,9.97539524545808e-06,0.00180140185889663
"447_1",40.2685381107607,-4.32174720933565,0.973143298543269,-4.44101831231332,8.95341743954294e-06,0.00180140185889663
"433_1",18.3692502816004,-5.82315044640011,1.28771542423292,-4.52207866491069,6.12352923825343e-06,0.00180140185889663
"3494_1",35.9432944357777,2.97453499320813,0.674365148763443,4.41086701865067,1.02957536279074e-05,0.00180140185889663
"3267_1",19.4446593349008,3.14054303256332,0.705631150141104,4.450686498088,8.5596221656858e-06,0.00180140185889663
